第0世代
f1,f2
157.828,15.0284,10
157.633,16.168,10
152.415,35.6258,10
157.555,16.2931,10
168.135,11.9396,11
151.872,96.2311,11
161.368,13.0026,11
151.975,63.495,11
151.936,76.518,11
152.584,40.165,11
158.798,14.9006,11
156.5,21.0481,11
153.301,32.2595,11
152.735,39.8442,11
154.488,28.7056,11
157.308,17.3964,11
153.682,30.9178,11
155.818,25.2263,11
160.165,13.5339,11
159.792,13.7982,11
157.24,17.7022,11
155.027,26.744,11
155.67,25.739,11
第5世代
f1,f2
159.5,2.40964,0
146.18,27.1529,0
151.77,4.91197,0
148.087,9.63855,0
147.18,23.1636,0
146.925,27.1358,0
163.49,2.40964,1
147.891,33.6707,1
148.087,9.63855,1
148.042,33.5033,1
158.467,6.20274,1
154.33,6.38582,1
151.945,7.65792,1
160.33,2.91867,1
160.122,3.31125,1
152.78,7.27409,1
163.49,3.02108,2
148.098,89.8782,2
148.241,32.2179,2
155.812,7.23795,2
160.122,6.64549,2
149.95,13.8495,2
161.368,3.63253,2
148.705,22.0411,2
153.777,8.43373,2
151.823,10.491,2
148.728,18.0418,2
151.7,12.0905,2
154.152,8.1265,2
162.953,3.88943,3
148.142,92.0075,3
148.415,35.6258,3
159.842,7.65792,3
148.823,19.7233,3
154.568,8.51033,3
150.095,15.0097,3
157.298,7.76265,3
162.618,7.15756,3
152.15,12.6749,3
156.355,8.35871,3
152.956,10.7006,3
149.328,18.1076,3
152.695,11.9029,3
162.628,3.90187,3
163.25,4.14283,4
148.548,82.9649,4
148.845,20.1203,4
162.533,8.47891,4
156.133,8.8765,4
152.288,12.9461,4
150.573,15.29,4
149.328,18.2479,4
151.397,15.1787,4
154.228,11.5192,4
155.633,11.5019,4
153.618,12.2066,4
155.812,10.3919,4
153.69,11.9029,4
153.685,12.1958,4
163.25,4.88053,5
149.016,78.201,5
149.038,37.7483,5
157.353,9.32644,5
149.255,26.2948,5
155.812,10.6328,5
149.647,19.3447,5
151.574,15.2873,5
154.425,12.5364,5
153.318,14.0254,5
154.857,11.9964,5
150.573,16.5601,5
152.577,14.4427,5
150.498,18.6972,5
152.855,14.2986,5
163.49,5.46979,6
149.283,27.1015,6
160.165,10.559,6
155.855,10.7694,6
149.702,25.16,6
150.486,21.4593,6
163.25,7.56609,6
153.94,14.0254,6
155.48,12.0254,6
151.77,18.4923,6
151.773,15.3979,6
161.91,9.78614,6
150.572,19.7218,6
152.855,14.2986,6
161.208,9.89587,6
168.39,6.85143,7
149.532,86.6191,7
149.638,68.0239,7
163.25,9.65792,7
149.782,46.8307,7
166.56,8.6265,7
155.92,11.4458,7
160.122,10.7907,7
150.17,32.4119,7
149.833,40.7732,7
153.603,15.0195,7
160.235,10.7753,7
151.33,20.2454,7
155.175,14.1275,7
152.02,15.5174,7
150.399,26.9871,7
151.814,15.9132,7
151.236,24.802,7
155.628,14.0762,7
155.812,12.7553,7
150.717,26.3959,7
150.883,25.2433,7
166.56,8.62651,8
150.073,81.6723,8
156.048,11.5361,8
150.11,53.8873,8
163.25,11.2291,8
150.438,40.8857,8
150.628,28.697,8
163.872,10.3964,8
153.318,16.1479,8
155.471,14.4154,8
150.426,49.992,8
152.025,16.1831,8
151.683,20.5637,8
151.561,26.8083,8
151.663,25.0789,8
163.25,11.0474,8
166.56,10.0944,9
150.38,95.6613,9
156.915,11.5361,9
150.477,52.2927,9
150.757,29.8973,9
150.668,38.6984,9
151.7,21.8846,9
153.818,16.1479,9
155.555,15.1079,9
150.56,49.5969,9
152.807,16.25,9
152.073,19.4933,9
156.108,12.7298,9
156.131,12.4182,9
152.223,17.5429,9
152.322,16.4207,9
166.688,10.9337,10
150.824,32.5955,10
151.712,25.6815,10
160.165,11.5361,10
155.976,15.1223,10
151.721,23.2434,10
153.175,16.2947,10
152.233,19.3534,10
157.17,11.8966,10
159.902,11.7626,10
156.548,13.6014,10
152.448,18.7051,10
153.138,17.0102,10
157.057,12.6191,10
166.688,11.0087,11
150.987,49.4949,11
160.383,11.7539,11
151.266,40.9866,11
156.408,15.8549,11
151.565,34.4712,11
152.156,24.0735,11
154.24,16.468,11
157.298,13.6443,11
151.943,28.9557,11
158.825,12.3471,11
152.981,19.5508,11
151.723,30.2775,11
153.318,16.8554,11
157.85,12.7151,11
152.358,20.3613,11
160.122,12.0429,11
152.335,22.6605,11
151.356,37.7673,11
151.285,38.9519,11
153.94,16.7594,11
151.818,29.783,11
151.31,37.8717,11
162.628,11.7804,12
151.019,64.9615,12
151.368,46.1076,12
159.792,12.6701,12
151.698,42.9387,12
151.814,33.2443,12
156.425,16.3168,12
157.975,13.2753,12
155.508,16.855,12
159.5,13.1244,12
153.798,19.0039,12
153.023,19.5643,12
154.568,17.0283,12
152.321,24.6632,12
157.555,16.2931,12
153,22.3242,12
154.158,17.4176,12
152.14,30.0811,12
151.408,44.9073,12
151.988,32.8114,12
第6世代
f1,f2
159.5,2.40964,0
146.18,27.1529,0
150.898,3.26705,0
147.18,23.1636,0
148.01,11.4458,0
148.087,9.63855,0
146.925,27.1358,0
163.49,2.40964,1
147.658,26.1677,1
148.087,9.63855,1
153.07,4.87476,1
160.122,3.31125,1
151.77,4.91197,1
148.705,9.63855,1
160.33,2.91867,1
163.49,2.40964,1
163.49,3.02108,2
147.697,33.8838,2
148.338,10.25,2
147.798,30.9632,2
158.467,6.20274,2
154.33,6.38582,2
151.945,7.65792,2
160.745,4.96686,2
161.368,3.63253,2
152.78,7.27409,2
147.891,33.6707,3
163.25,3.64844,3
148.705,22.0411,3
148.698,29.5147,3
149.7,13.4318,3
160.122,6.64549,3
159.325,7.17168,3
162.628,3.90187,3
155.812,7.23795,3
151.078,10.6328,3
152.995,8.08654,3
155.383,7.29853,3
149.323,17.5591,3
148.241,32.2179,3
148.728,18.0418,3
151.823,10.491,3
152.405,8.43373,3
148.042,33.5033,3
149.095,17.9066,3
162.953,3.88943,3
163.25,4.14283,4
148.098,89.8782,4
148.165,35.6258,4
157.298,7.76265,4
159.842,7.65792,4
153.94,8.10872,4
148.823,19.7233,4
162.618,7.15756,4
151.7,12.0905,4
149.95,13.8495,4
152.645,8.43373,4
149.741,17.7855,4
149.328,18.1076,4
163.16,4.82831,4
163.872,4.71492,5
148.142,92.0075,5
148.415,35.6258,5
163.25,4.88053,5
154.152,8.1265,5
148.845,20.1203,5
150.095,15.0097,5
152.15,12.6749,5
149.328,18.2479,5
152.956,10.7006,5
