第0世代
,f1,f2,front
157.232,58.8985,85,29
157.753,41.0482,87,29
167.843,27.0364,100,29
第2世代
,f1,f2,front
150.63,3.02108,84,0
146.094,83.4559,100,0
146.715,10.4908,93,0
146.176,71.6324,97,0
148.902,7.7423,92,0
150.003,5.87249,89,0
149.38,6.27319,89,0
156.925,3.07285,81,1
146.638,79.7792,100,1
147.008,67.5776,100,1
150.63,4.11446,84,1
147.345,18.9698,100,1
149.025,8.61242,92,1
150.253,6.32329,89,1
148.53,12.4116,92,1
148.36,17.9444,93,1
148.083,18.1284,93,1
147.467,18.1429,100,1
154.723,4.21687,87,2
147.008,69.3431,100,2
147.583,19.5351,99,2
152.973,5.82208,83,2
150.158,10.8873,94,2
151.408,6.0241,90,2
149.331,18.7909,91,2
151.08,7.76095,84,2
149.618,13.0077,86,2
149.52,14.6736,100,2
149.455,17.8875,93,2
151.11,7.65792,91,2
158.995,4.71687,85,3
147.795,76.1787,100,3
148.053,71.4786,94,3
148.068,28.4883,91,3
155.925,5.08608,81,3
152.988,6.78542,86,3
148.24,23.4987,96,3
151.405,7.95066,93,3
150.473,11.6529,92,3
149.212,21.4537,96,3
150.215,16.2627,83,3
151.158,9.28614,94,3
149.649,18.7171,93,3
149.52,18.9186,100,3
158.41,5.28798,85,4
148.503,68.3625,100,4
148.827,26.0321,99,4
148.8,59.1265,91,4
153.217,7.85843,90,4
156.78,6.30154,82,4
149.245,22.4053,96,4
151.85,8.25708,80,4
150.323,16.3451,99,4
150.088,19.9794,99,4
150.958,11.8619,98,4
157.34,6.04941,81,4
148.676,62.1986,94,4
151.405,10.1297,93,4
151.355,10.8434,98,4
158.41,6.47443,85,5
148.638,70.4997,100,5
148.832,60.4035,93,5
149.408,28.9287,99,5
157.643,7.17169,82,5
153.647,7.90792,90,5
150.323,18.0466,99,5
151.01,12.9878,92,5
150.217,26.4902,98,5
151.405,10.1297,93,5
150.252,22.8168,87,5
152.36,9.78042,91,5
153.27,8.43373,94,5
149.633,28.8028,99,5
152.61,9.34265,86,5
151.155,11.9144,93,5
170.8,6.55722,85,6
148.683,75.915,91,6
162.08,7.13783,88,6
